Country,IC1,IC2,IC3
Saint Vincent and the Grenadines,-2.9583662865585794,1.0843895809723243,0.5890416395736697
San Marino,-3.087136790760497,-1.7949661903735123,-6.995840433333365
Sao Tome and Principe,-0.3543347599805199,0.8338900562719026,0.20381285939757712
Saudi Arabia,-10.904936449924882,-2.0019668702548272,-3.1302756415846638
Senegal,-8.085959597090755,-1.9707243829330363,-1.3601869655926557
Serbia,-10.261583429967239,-6.387539728682596,-2.2443190240433104
Seychelles,-1.9932874620898011,-3.9187642033192525,0.8346161472026319
Sierra Leone,-6.361598987184055,5.812399861404697,2.0684712890984573
Singapore,-2.517906330996657,-0.9701908297065284,2.5123030884932174
Slovakia,-8.057434578583079,-5.653661630120685,-4.145453396203885
Slovenia,-5.102361716572046,-7.5642070956007155,-5.956073896769979
Somalia,-7.505843540145456,5.411626508019181,2.288783758004034
South Africa,-9.207238749767603,-4.74601199036796,-3.3509927511477016
South Sudan,-2.5152912740444857,2.9450382648851345,0.5848281838948861
Spain,-3.8421663208360695,-5.905747541337406,-11.094595879887857
Sri Lanka,-7.867217252375751,-3.6610904553213692,-0.9637672560600569
Sudan,-7.407975190351446,3.4934470608936516,2.307086272965287
Suriname,-1.9043871516058548,-3.6462984696553677,0.8538001533401317
Sweden,-6.110831504999232,-2.2210703371484084,-9.978224016662057
Switzerland,-2.9993005251364067,-7.559721060490338,-11.403257482092902
Syria,-3.8685229668300827,0.16679795341264148,1.2445540833937077
Taiwan*,2.8688225805160212,-8.668184488528821,0.9063924583061768
Tanzania,-6.280837659297827,0.5051945287688203,1.6094372104230852
Thailand,-1.4037049416029381,-9.972436981472992,0.29305047005194906
Timor-Leste,-3.28144558369558,3.725281677841783,0.8229122414377888
Togo,-5.666698729500127,-2.839379384158089,1.700263511871956
Trinidad and Tobago,-4.299202884623159,-6.509674722002704,1.2409151719023324
Tunisia,-7.966164426958944,-7.905946406129224,-2.9895775105914097
Turkey,-12.452666748813966,-8.071279823022067,1.8419309972883102
US,-5.075249433985921,-6.318839835665102,-6.157015258667103
Uganda,-4.272515166490137,-1.548920096740479,1.3711532499582908
Ukraine,-12.11834598279143,-3.925779440286663,2.369517607779069
United Arab Emirates,-7.294428017764197,0.634302341439099,-0.5376078044513529
United Kingdom,-6.516379726097567,-3.4429845442736564,-7.612635521486976
Uruguay,-6.160856041584868,-6.801355910552314,1.8427195451521095
Uzbekistan,-10.33167049445746,-4.839437268180083,3.2086012355803124
Venezuela,-5.852068614936877,-4.51354875903631,1.3397110731308877
