Country,IC1,IC2,IC3
Diamond Princess,-0.6153983222713146,-0.827137746006139,2.8343901942922725
Djibouti,3.603987647167671,0.44155851204109026,-2.4580372769563184
Dominica,1.2905062390785965e-15,2.9642592918443424e-16,-3.8920535466765714e-18
Dominican Republic,-0.9965674400533546,-1.680141230021801,6.663622892287178
Ecuador,-1.0018898702037844,-0.5706704635314406,6.238012978407939
Egypt,-0.49482473470363114,-1.6564108010861998,8.478469864978873
El Salvador,-2.1418610944103555,-2.9368102794922364,4.6283029042852455
Equatorial Guinea,0.7977169510645912,0.07419787220159986,-0.4794113953577593
Eritrea,3.9561324477953846e-16,9.023035308847534e-20,2.036201243832774e-16
Estonia,-4.6554532551459635,-0.6114474208193001,1.5034492951364111
Eswatini,-2.456092141981686,-0.24192895814198018,1.6669658427854384
Ethiopia,-2.7636072564944936,-1.6798666236965931,3.3356786820428757
Fiji,-1.2620414846529207e-15,8.420641825084341e-17,2.8030968140119254e-17
Finland,-4.792790193624537,-1.740808645405041,1.6571849515478925
France,-2.011717938029851,-3.1140643239051555,7.2446477542015115
Gabon,6.804967155572549,-0.5584316000475592,5.215495996421504
Gambia,2.298698523994351,-6.0819128005131695,11.903999766729072
Georgia,-0.2390346438134023,-0.16071732070226594,0.2729813430299558
Germany,-4.13707724052877,-5.621828006726247,2.1042855496553887
Ghana,3.6822551355186066,-0.7372452196789487,2.363801777912241
Greece,-1.1935310642107473,-2.4250762595854116,6.2532596231280415
Grenada,-3.9386318837675236e-16,7.690227965284538e-17,1.1448788018028164e-16
Guatemala,1.088842756543985,2.2402911950513156,5.736690039029665
Guinea,1.1895007112150777,0.13431385663763423,-0.8334936719461158
Guinea-Bissau,-0.23111790320103615,-0.01861014431916339,0.13785860946940437
Guyana,1.1610170470164205,3.439465066804536,12.65900105218725
Haiti,-5.251792358343183,-2.1820618901733515,5.229384143029697
Holy See,2.4561064788977863e-16,-1.0934373766854952e-16,-2.7015517859711513e-18
Honduras,-3.703687622808799,-4.006907872456727,7.281083375588627
Hungary,-2.29872772571083,-1.6199337203104107,8.292230306844012
Iceland,-2.6108813683895646,1.2934417476701188,-4.552707170614402
India,-0.8089952271160145,-0.5261068666390891,4.902500626543877
Indonesia,0.42882529483596554,0.3073546573336798,10.20223694121986
Iran,0.4522155952580068,0.9012857007186581,4.868770282247091
Iraq,1.3374770388971982,2.7759953161736313,7.740551179386499
Ireland,-3.7804951814458247,-2.7391468754162234,4.280792447737226
Israel,-4.079795571092761,-0.036659682917238805,-1.6907246491569765
Italy,-0.3748322253218703,0.7970835193974459,9.892164589202986
Jamaica,1.4524952977789514,-1.7226753117933988,6.2442623735453555
Japan,0.9709958611568937,1.451549375662727,3.4104858930243065
Jordan,-1.2313896743056918,-1.074623435996879,1.6956648065610775
Kazakhstan,-0.8179703237761778,0.7673566209499818,-0.29167949814716776
Kenya,-2.3262380826447475,-2.4302084163176962,4.939490009589468
"Korea, South",-0.9470822757241331,-1.457195224389762,3.3569626606368996
Kosovo,-2.437106996796644,-0.6530324776636627,2.1180582677304614
Kuwait,2.3158105588829265,2.5295827080558855,-4.025176567623006
