Country,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10
Cameroon,-2.353959047292448,-2.7616443909372723,-3.363046984504702,1.841099386132543,-4.923155390550862,5.7089856067642115,-0.9413506505058016,-7.292662077768164,-2.6531929166188273,1.460392561776254
Canada,-1.461388928742258,1.2081997175791617,1.571091568579102,-2.0171378161202846,-2.786294248991508,7.108387485206289,-2.479892425135741,-2.941126015793207,-2.65507137862343,-1.4825280984868972
Central African Republic,-0.2836966056226694,-0.8288784773148481,-0.540888538442721,0.7788562468881919,-0.4863674174227724,1.5404034062811798,1.8253986541246663,-2.3852047903994595,0.33668962569863975,3.799049269467784
Chad,0.7907317244097286,-2.3321585163857748,-1.1081050188884132,1.2475122271803873,0.01870304766370165,3.8842108760422045,-0.10088382132038293,-0.5158279419938097,2.8168210089615386,2.155038524868702
Chile,-1.752892098031492,-2.9837753401733194,-3.104091417459115,-5.901076863154824,-3.0754430839380165,8.391214477934989,-1.3502326583777247,-5.402648498997275,-1.6983894062412408,0.6846624947937133
China,1.5224788555726245,-0.2208711053021054,-0.03676609516705891,6.560785049147076,1.7375717152636887,-18.148097654386437,1.8904808020819226,3.6334284942749706,2.6110855829052224,-12.536633466881131
Colombia,2.29286089504019,-3.8043902146693935,-3.485758924938612,-6.3075841133089945,-3.5761317599385545,8.295935703504986,-1.5669742475372108,-3.676438471395264,-3.4386200925542454,0.44990457447559956
Congo (Brazzaville),1.2376012148733195e-16,3.4569307920423497e-16,1.1876718378499948e-15,-6.598121616350681e-16,5.181741084972479e-16,-1.0465882067878265e-16,-2.965377172390053e-16,-3.153384322607103e-17,-1.1090163415294172e-16,-1.5167943007786779e-15
Congo (Kinshasa),1.2516913447921081e-15,1.1520284360319863e-15,6.734094276790761e-16,-7.942494181969036e-16,-2.4909527099444176e-16,-3.3400794861889097e-16,3.665642612021674e-16,-1.0726480856166152e-15,5.397842110577996e-16,-1.7560425548310834e-15
Costa Rica,-4.183205809875257,-2.561564990997246,-2.6578860551933454,-3.3759316123369,-3.6281941630570893,4.912762383940773,-2.2811844945045983,-5.715898062180781,-3.3236160792529383,-3.541613019385224
Cote d'Ivoire,0.897358637307187,-2.7609097956990136,-3.779838113884822,2.716487156887588,-6.140407273601479,6.996993813822079,-1.4573532342455242,0.27406970394765007,-3.737383913873983,0.5171896762536167
Croatia,1.1840049206978458,1.965698541639202,1.0728426670753775,-4.193325226234662,-3.5186475282443306,8.132323303787217,-3.683026772704926,-2.7689665984936807,-3.2429527049909623,-4.850643686796431
Cuba,1.501911870736519,-4.72090112715657,-3.115566756361004,1.944597157669646,-2.888274696977334,9.07714438902579,-2.3055644188669073,-3.071349183874995,-2.14147525819943,-0.10774385543721877
Cyprus,0.24134429922486061,-2.619119162399721,-4.07086603527514,-5.01696976233415,-2.582760978207821,7.154810741417398,-1.7752400129287769,-2.447443567503597,-3.0292377504007932,-3.94786959907161
Czechia,-2.620615658621377,-1.9627997960263277,1.8197764722433099,-6.2687085059492285,-2.568203940233505,7.184453086907463,-4.863780366640128,-4.141715530004269,-2.1274774804854633,-3.809110832135995
Denmark,-4.799791915752029,-1.3327672699765543,3.740382447973815,-5.430175329497197,-1.4622688030332975,7.696749518478873,-1.7684272551141973,-1.7771525036718894,-0.9447732198803371,-2.260095238862539
Diamond Princess,0.08165160843647924,-0.0002539650988147422,-1.392659386022483,0.7349677041116757,0.5378149556974258,-3.9402328536483084,0.6817281970670686,0.3584067278176235,0.4461892883548356,-0.30412813494208113
Djibouti,1.7733955468994318,-3.3159367412278815,-3.6055289375031605,1.8845096773421846,-4.967756287250964,7.8803209212055885,3.732257413698655,2.007034222965068,2.1829296235997058,-0.7214377072974181
Dominica,-4.7174816189771235e-16,3.4592989304438113e-16,-6.659414078379548e-16,-1.3975286789949956e-15,-9.748606801800878e-16,-4.493191448857924e-16,-1.2190729428788388e-15,-9.965641551982705e-16,-9.854276353033562e-16,-1.0898571935136423e-15
